title,id,release_date,vote_average,actors,director,composer,writer,producer
Chernobyl Diaries,93856,2012-05-24,5.293,"['Olivia Taylor Dudley', 'Jesse McCartney', 'Devin Kelley']",Bradley Parker,,,Oren Peli
Chouchou,17684,2003-03-19,5.291,"['Gad Elmaleh', 'Alain Chabat', 'Claude Brasseur']",Merzak Allouache,,,
Stop! Or My Mom Will Shoot,9876,1992-02-21,5.3,"['Sylvester Stallone', 'Estelle Getty', 'JoBeth Williams']",Roger Spottiswoode,Alan Silvestri,Blake Snyder,Michael C. Gross
Clockstoppers,15028,2002-03-29,5.295,"['Jesse Bradford', 'Paula Garcés', 'French Stewart']",Jonathan Frakes,Jamshied Sharifi,,Gale Anne Hurd
Bigbug,665828,2022-02-11,5.3,"['Isabelle Nanty', 'Elsa Zylberstein', 'Claude Perron']",Jean-Pierre Jeunet,Raphaël Beau,Jean-Pierre Jeunet,Jean-Pierre Jeunet
The Magic Tuche,424619,2018-01-31,5.286,"['Jean-Paul Rouve', 'Isabelle Nanty', 'Claire Nadeau']",Olivier Baroux,,,Richard Grandpierre
Jungle 2 Jungle,9446,1997-03-04,5.286,"['Tim Allen', 'Martin Short', 'JoBeth Williams']",John Pasquin,Michael Convertino,Bruce A. Evans,Brian Reilly
Room(h)ates,426962,2017-04-19,5.285,"['Gilles Lellouche', 'Louise Bourgoin', 'Manu Payet']",Dominique Farrugia,,,Dominique Farrugia
Choose or Die,838484,2022-04-15,5.283,"['Iola Evans', 'Asa Butterfield', 'Robert Englund']",Toby Meakins,Liam Howlett,,Matthew James Wilkinson
Christmas Vacation 2000,42446,1999-12-17,5.283,"['Massimo Boldi', 'Christian De Sica', 'Megan Gale']",Carlo Vanzina,Manuel De Sica,Carlo Vanzina,Aurelio De Laurentiis
The New Daughter,37534,2009-12-18,5.3,"['Kevin Costner', 'Ivana Baquero', 'Gattlin Griffith']",Luiso Berdejo,Javier Navarrete,John Travis,Paul Brooks
Hellraiser: Bloodline,8766,1996-03-08,5.3,"['Bruce Ramsay', 'Valentina Vargas', 'Doug Bradley']",Kevin Yagher,Daniel Licht,,Nancy Rae Stone
How It Ends,475210,2018-07-13,5.282,"['Theo James', 'Forest Whitaker', 'Kat Graham']",David M. Rosenthal,Atli Örvarsson,,Paul Schiff
[REC]³ Genesis,80280,2012-03-30,5.281,"['Leticia Dolera', 'Diego Martín', 'Ismael Martínez']",Paco Plaza,Mikel Salas,Paco Plaza,Julio Fernández
Stone,44113,2010-10-07,5.3,"['Robert De Niro', 'Edward Norton', 'Milla Jovovich']",John Curran,,,Holly Wiersma
Approaching the Unknown,328429,2016-06-03,5.28,"['Mark Strong', 'Luke Wilson', 'Sanaa Lathan']",Mark Elijah Rosenberg,Paul Damian Hogan,Mark Elijah Rosenberg,Mark Roberts
Beyond Skyline,271404,2017-10-26,5.28,"['Frank Grillo', 'Bojana Novaković', 'Iko Uwais']",Liam O'Donnell,,,Colin Strause
The Lazarus Effect,243940,2015-01-29,5.282,"['Mark Duplass', 'Olivia Wilde', 'Donald Glover']",David Gelb,Sarah Schachner,Jeremy Slater,Jason Blum
Behaving Badly,259018,2014-04-14,5.279,"['Nat Wolff', 'Selena Gomez', 'Mary-Louise Parker']",Tim Garrick,David Newman,,Miri Yoon
Home Alone 3,9714,1997-12-12,5.279,"['Alex D. Linz', 'Olek Krupa', 'Rya Kihlstedt']",Raja Gosnell,,,John Hughes
Casino Royale,12208,1967-04-13,5.3,"['David Niven', 'Peter Sellers', 'Ursula Andress']",Val Guest,Burt Bacharach,Wolf Mankowitz,Jerry Bresler
Meet Dave,11260,2008-07-08,5.278,"['Eddie Murphy', 'Elizabeth Banks', 'Gabrielle Union']",Brian Robbins,John Debney,Bill Corbett,Todd Komarnicki
Mutant Chronicles,13256,2008-08-07,5.277,"['Ron Perlman', 'Thomas Jane', 'Devon Aoki']",Simon Hunter,,,Tim Dennison
Nothing but Trouble,11933,1991-02-15,5.3,"['Chevy Chase', 'Dan Aykroyd', 'John Candy']",Dan Aykroyd,Michael Kamen,Dan Aykroyd,Robert K. Weiss
Rage,242310,2014-05-09,5.276,"['Nicolas Cage', 'Aubrey Shea', 'Rachel Nichols']",Paco Cabezas,Laurent Eyquem,,Michael Mendelsohn
Deuce Bigalow: European Gigolo,11453,2005-08-12,5.275,"['Rob Schneider', 'Eddie Griffin', 'Jeroen Krabbé']",Mike Bigelow,James L. Venable,Rob Schneider,Jack Giarraputo
Boat Trip,9557,2002-10-01,5.3,"['Cuba Gooding Jr.', 'Horatio Sanz', 'Roselyn Sánchez']",Mort Nathan,Robert Folk,Mort Nathan,Brad Krevoy
Dracula 2000,10577,2000-12-22,5.3,"['Gerard Butler', 'Christopher Plummer', 'Jonny Lee Miller']",Patrick Lussier,Marco Beltrami,Joel Soisson,W.K. Border
Friday the 13th: A New Beginning,9731,1985-03-22,5.271,"['Tiffany Helm', 'John Shepherd', 'Juliette Cummins']",Danny Steinmann,,Danny Steinmann,Timothy Silver
Toys,11597,1992-12-18,5.3,"['Robin Williams', 'Joan Cusack', 'Michael Gambon']",Barry Levinson,Hans Zimmer,Barry Levinson,Barry Levinson
Blues Brothers 2000,11568,1998-02-05,5.269,"['Dan Aykroyd', 'John Goodman', 'Joe Morton']",John Landis,,John Landis,John Landis
With Open Arms,430365,2017-04-05,5.268,"['Christian Clavier', 'Ary Abittan', 'Elsa Zylberstein']",Philippe de Chauveron,Hervé Rakotofiringa,,Sylvain Goldberg
The Bad Batch,316154,2017-06-23,5.264,"['Suki Waterhouse', 'Jason Momoa', 'Yolonda Ross']",Ana Lily Amirpour,,,Megan Ellison
Daredevil,9480,2003-02-14,5.267,"['Ben Affleck', 'Jennifer Garner', 'Colin Farrell']",Mark Steven Johnson,Graeme Revell,Mark Steven Johnson,Avi Arad
The Counselor,109091,2013-10-25,5.265,"['Michael Fassbender', 'Penélope Cruz', 'Cameron Diaz']",Ridley Scott,Daniel Pemberton,,Steve Schwartz
Patient Zero,295011,2018-09-14,5.3,"['Matt Smith', 'Natalie Dormer', 'Clive Standen']",Stefan Ruzowitzky,Michael Wandmacher,Mike Le,Vincent Newman
The Cat in the Hat,10588,2003-11-21,5.264,"['Mike Myers', 'Dakota Fanning', 'Spencer Breslin']",Bo Welch,David Newman,David Mandel,Brian Grazer
Hellboy: The Crooked Man,1087822,2024-08-29,5.25,"['Jack Kesy', 'Jefferson White', 'Adeline Rudolph']",Brian Taylor,Sven Faulconer,Christopher Golden,Jonathan Yunger
The 11 Commandments,17825,2004-02-04,5.259,"['Michaël Youn', 'Vincent Desagnat', 'Benjamin Morgaine']",François Desagnat,,,
Superhero Movie,11918,2008-03-28,5.259,"['Drake Bell', 'Sara Paxton', 'Christopher McDonald']",Craig Mazin,James L. Venable,,Craig Mazin
The Woman in Black 2: Angel of Death,288158,2014-12-30,5.257,"['Phoebe Fox', 'Helen McCrory', 'Jeremy Irvine']",Tom Harper,Marco Beltrami,Jon Croker,Tobin Armbrust
American Pie Presents: The Book of Love,26123,2009-12-07,5.256,"['Bug Hall', 'Brandon Hardesty', 'Kevin M. Horton']",John Putch,David Lawrence,,Mike Elliott
Nobody Sleeps in the Woods Tonight,681019,2020-03-20,5.3,"['Julia Wieniawa', 'Michał Lupa', 'Wiktoria Gąsiewska']",Bartosz M. Kowalski,Radzimir Dębski,,Jan Kwieciński
HOUBA! On the Trail of the Marsupilami,102207,2012-04-03,5.3,"['Alain Chabat', 'Jamel Debbouze', 'Fred Testot']",Alain Chabat,Bruno Coulais,,Amandine Billot
City Slickers II: The Legend of Curly's Gold,11310,1994-06-10,5.254,"['Billy Crystal', 'Daniel Stern', 'Jon Lovitz']",Paul Weiland,Marc Shaiman,Billy Crystal,Billy Crystal
"Honey, I Blew Up the Kid",11158,1992-07-16,5.3,"['Rick Moranis', 'Marcia Strassman', 'Robert Oliveri']",Randal Kleiser,Bruce Broughton,Peter Elbling,Edward S. Feldman
Holy Man,9713,1998-10-08,5.3,"['Eddie Murphy', 'Jeff Goldblum', 'Kelly Preston']",Stephen Herek,Alan Silvestri,,Roger Birnbaum
Blackway,359790,2015-10-03,5.3,"['Anthony Hopkins', 'Julia Stiles', 'Alexander Ludwig']",Daniel Alfredson,Anders Niska,,Rick Dugdale
The Adventures of André and Wally B.,13924,1984-12-17,5.252,[],Alvy Ray Smith,,,Alvy Ray Smith
Lesbian Vampire Killers,18238,2009-03-16,5.3,"['James Corden', 'Mathew Horne', 'MyAnna Buring']",Phil Claydon,Debbie Wiseman,,Steve Clark-Hall
The Phantom,9826,1996-06-06,5.2,"['Billy Zane', 'Kristy Swanson', 'Treat Williams']",Simon Wincer,David Newman,Jeffrey Boam,Robert Evans
Species III,9711,2004-11-26,5.247,"['Robin Dunne', 'Robert Knepper', 'Sunny Mabrey']",Brad Turner,,Ben Ripley,David Dwiggins
Passion,109099,2013-02-13,5.245,"['Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth']",Brian De Palma,Pino Donaggio,Brian De Palma,Saïd Ben Saïd
Emelie,329010,2016-03-04,5.247,"['Sarah Bolger', 'Susan Pourfar', 'Chris Beetem']",Michael Thelin,Phil Mossman,,Andrew Corkin
Marmaduke,38579,2010-06-03,5.2,"['Owen Wilson', 'Emma Stone', 'George Lopez']",Tom Dey,Christopher Lennertz,,John Davis
Crossroads,17130,2002-02-15,5.241,"['Britney Spears', 'Zoe Saldaña', 'Taryn Manning']",Tamra Davis,Trevor Jones,,Ann Carli
A Very Murray Christmas,364067,2015-12-04,5.2,"['Bill Murray', 'Paul Shaffer', 'Michael Cera']",Sofia Coppola,,,John Skidmore
Infini,301728,2015-04-11,5.239,"['Daniel MacPherson', 'Grace Huang', 'Luke Hemsworth']",Shane Abbess,Brian Cachia,,Brett Thornquest
Bel Ami,86467,2012-03-09,5.2,"['Robert Pattinson', 'Uma Thurman', 'Christina Ricci']",Nick Ormerod,Rachel Portman,Rachel Bennette,Uberto Pasolini
Sorry if I Want to Marry You,41413,2010-02-12,5.238,"['Raoul Bova', 'Michela Quattrociocche', 'Andrea Montovoli']",Federico Moccia,Matteo Maffucci,Federico Moccia,Rita Rusić
Torque,10718,2004-01-16,5.2,"['Martin Henderson', 'Ice Cube', 'Monet Mazur']",Joseph Kahn,Trevor Rabin,Matt Johnson,Brad Luff
And Soon the Darkness,33107,2010-02-25,5.2,"['Amber Heard', 'Odette Annable', 'Karl Urban']",Marcos Efron,Tom Hajdu,Jennifer Derwingson,Lizzie Friedman
The Forest,329440,2016-01-07,5.232,"['Natalie Dormer', 'Eoin Macken', 'Stephanie Vogt']",Jason Zada,Bear McCreary,,Tory Metzger
Havoc,14695,2005-10-16,5.232,"['Anne Hathaway', 'Bijou Phillips', 'Shiri Appleby']",Barbara Kopple,Cliff Martinez,Stephen Gaghan,Stewart Hall
Great White,534072,2021-05-07,5.231,"['Katrina Bowden', 'Aaron Jakubenko', 'Kimie Tsukakoshi']",Martin Wilson,Tim Count,Michael Boughen,Pam Collis
Family for Rent,342281,2015-08-19,5.229,"['Benoît Poelvoorde', 'Virginie Efira', 'François Morel']",Jean-Pierre Améris,,Jean-Pierre Améris,Nathalie Gastaldo
Poltergeist III,10306,1988-06-10,5.23,"['Tom Skerritt', 'Nancy Allen', ""Heather O'Rourke""]",Gary Sherman,Joe Renzetti,Brian Taggert,Barry Bernardi
Balls of Fury,9750,2007-08-29,5.23,"['Dan Fogler', 'Christopher Walken', 'George Lopez']",Robert Ben Garant,Randy Edelman,Thomas Lennon,Gary Barber
Animal Kingdom: Let's Go Ape,280391,2015-04-08,5.228,"['Jamel Debbouze', 'Arié Elmaleh', 'Mélissa Theuriau']",Jamel Debbouze,,,Frédéric Fougea
The Human Centipede (First Sequence),37169,2009-10-31,5.228,"['Dieter Laser', 'Ashley C. Williams', 'Ashlynn Yennie']",Tom Six,Holeg Spies,,Tom Six
Spring Breakers,122081,2013-03-06,5.226,"['Ashley Benson', 'Vanessa Hudgens', 'James Franco']",Harmony Korine,Skrillex,,Charles-Marie Anthonioz
DOA: Dead or Alive,9053,2006-09-07,5.23,"['Jaime Pressly', 'Holly Valance', 'Sarah Carter']",Corey Yuen,Tom Holkenborg,J.F. Lawton,Paul W. S. Anderson
10x10,505177,2018-03-16,5.222,"['Luke Evans', 'Kelly Reilly', 'Noel Clarke']",Suzi Ewing,Christopher Holmes,Noel Clarke,Jason Maza
All Cheerleaders Die,210908,2013-10-31,5.222,"['Caitlin Stasey', 'Sianoa Smit-McPhee', 'Brooke Butler']",Chris Sivertson,Mads Heldtberg,Lucky McKee,Andrew van den Houten
Blair Witch,351211,2016-09-15,5.221,"['James Allen McCune', 'Callie Hernandez', 'Brandon Scott']",Adam Wingard,Adam Wingard,,Steven Schneider
A Walk in Time,42425,1996-12-13,5.221,"['Christian De Sica', 'Massimo Boldi', 'Dean Jones']",Carlo Vanzina,Manuel De Sica,Carlo Vanzina,Aurelio De Laurentiis
Mean Girls 2,51481,2011-01-23,5.223,"['Meaghan Jette Martin', 'Jennifer Stone', 'Maiara Walsh']",Melanie Mayron,,,
Natale sul Nilo,42432,2002-12-20,5.22,"['Christian De Sica', 'Massimo Boldi', 'Enzo Salvi']",Neri Parenti,,Marco Martani,Andrés Vicente Gómez
Hellraiser: Judgment,444149,2018-02-13,5.218,"['Damon Carney', 'Randy Wayne', 'Paul T. Taylor']",Gary J. Tunnicliffe,,,Michael Leahy
Stormbreaker,9978,2006-07-21,5.217,"['Alex Pettyfer', 'Sarah Bolger', 'Ewan McGregor']",Geoffrey Sax,Alan Parker,Anthony Horowitz,Andreas Grosch
Anaconda,9360,1997-04-11,5.218,"['Jennifer Lopez', 'Ice Cube', 'Jon Voight']",Luis Llosa,Randy Edelman,,Verna Harrah
Cats & Dogs: The Revenge of Kitty Galore,39691,2010-07-29,5.2,"['James Marsden', 'Nick Nolte', 'Christina Applegate']",Brad Peyton,Christopher Lennertz,,Andrew Lazar
Vive la France,169020,2013-02-20,5.215,"['Michaël Youn', 'José Garcia', 'Isabelle Funaro']",Michaël Youn,,Jurij Prette,
Halloween III: Season of the Witch,10676,1982-10-22,5.214,"['Tom Atkins', 'Stacey Nelkin', ""Dan O'Herlihy""]",Tommy Lee Wallace,Alan Howarth,Tommy Lee Wallace,John Carpenter
Hollywood Homicide,11375,2003-06-09,5.214,"['Harrison Ford', 'Josh Hartnett', 'Lena Olin']",Ron Shelton,Alex Wurman,Ron Shelton,Ron Shelton
Asterix at the Olympic Games,2395,2008-01-25,5.2,"['Gérard Depardieu', 'Clovis Cornillac', 'José Garcia']",Frédéric Forestier,Frédéric Talgorn,Thomas Langmann,Thomas Langmann
The Snowman,372343,2017-08-24,5.212,"['Michael Fassbender', 'Rebecca Ferguson', 'Charlotte Gainsbourg']",Tomas Alfredson,Marco Beltrami,Matthew Michael Carnahan,Tim Bevan
Hot Tub Time Machine 2,243938,2015-02-20,5.21,"['Rob Corddry', 'Craig Robinson', 'Clark Duke']",Steve Pink,Christophe Beck,,Andrew Panay
Club Dread,11217,2004-02-27,5.21,"['Kevin Heffernan', 'Jay Chandrasekhar', 'Brittany Daniel']",Jay Chandrasekhar,Nathan Barr,Kevin Heffernan,Richard Perello
Texas Chainsaw Massacre,632727,2022-02-18,5.205,"['Sarah Yarkin', 'Elsie Fisher', 'Mark Burnham']",David Blue Garcia,Colin Stetson,Chris Thomas Devlin,Fede Álvarez
Girl on the Third Floor,580630,2019-10-25,5.207,"['Phil Brooks', 'Trieste Kelly Dunn', 'Sarah Brooks']",Travis Stevens,,Travis Stevens,Nicola Goelzhaeuser
Rattlesnake,560362,2019-10-25,5.207,"['Carmen Ejogo', 'Theo Rossi', 'Emma Greenwell']",Zak Hilditch,Ian Hultquist,Zak Hilditch,Ross M. Dinerstein
Freedomland,9959,2006-02-17,5.2,"['Samuel L. Jackson', 'Julianne Moore', 'Edie Falco']",Joe Roth,James Newton Howard,,Scott Rudin
The Ridiculous 6,347969,2015-12-11,5.2,"['Adam Sandler', 'Terry Crews', 'Jorge Garcia']",Frank Coraci,Rupert Gregson-Williams,,Allen Covert
Poltergeist,243688,2015-05-20,5.205,"['Sam Rockwell', 'Rosemarie DeWitt', 'Saxon Sharbino']",Gil Kenan,Marc Streitenfeld,David Lindsay-Abaire,Nathan Kahane
Once Upon a Time in Venice,345915,2017-06-08,5.2,"['Bruce Willis', 'Jason Momoa', 'John Goodman']",Mark Cullen,Jeff Cardoni,,Nicolas Chartier
Gulliver's Travels,38745,2010-12-23,5.204,"['Jack Black', 'Jason Segel', 'Emily Blunt']",Rob Letterman,Henry Jackman,Joe Stillman,John Davis
Day of the Dead,13613,2008-04-08,5.2,"['Mena Suvari', 'Stark Sands', 'Michael Welch']",Steve Miner,Tyler Bates,Jeffrey Reddick,Boaz Davidson
Ultraviolet,9920,2006-03-03,5.2,"['Milla Jovovich', 'Cameron Bright', 'Nick Chinlund']",Kurt Wimmer,Klaus Badelt,,John Baldecchi
Crocodile Dundee in Los Angeles,9290,2001-04-12,5.2,"['Paul Hogan', 'Linda Kozlowski', 'Jere Burns']",Simon Wincer,Basil Poledouris,Eric Abrams,Perry Katz
Stuart Little 3: Call of the Wild,30178,2005-07-14,5.2,"['Michael J. Fox', 'Geena Davis', 'Hugh Laurie']",Audu Paden,Atli Örvarsson,Bob Shaw,
Ibiza,531735,2019-07-03,5.199,"['Christian Clavier', 'Mathilde Seigner', 'Léopold Buchsbaum']",Arnaud Lemort,Paul-Marie Barbier,,Mathieu Verhaeghe
Police Academy 5: Assignment Miami Beach,11825,1988-03-17,5.2,"['Bubba Smith', 'David Graf', 'Michael Winslow']",Alan Myerson,Robert Folk,,Paul Maslansky
Beethoven's 3rd,24476,2000-09-07,5.2,"['Judge Reinhold', 'Julia Sweeney', 'Joe Pichler']",David Mickey Evans,Philip Giffin,,Kelli Konop
Alex Cross,94348,2012-10-18,5.192,"['Tyler Perry', 'Edward Burns', 'Matthew Fox']",Rob Cohen,John Debney,Marc Moss,Bill Block
The Bachelor,2020,1999-11-05,5.2,"[""Chris O'Donnell"", 'Renée Zellweger', 'Artie Lange']",Gary Sinyor,John Murphy,Steve Cohen,Bing Howenstein
Eight Crazy Nights,13376,2002-11-27,5.189,"['Adam Sandler', 'Jackie Sandler', 'Kevin Nealon']",Seth Kearsley,Ray Ellis,,Allen Covert
Bangkok Dangerous,13184,2008-08-21,5.189,"['Nicolas Cage', 'Shahkrit Yamnarm', 'Charlie Yeung Choi-Nei']",Oxide Pang Shun,Brian Tyler,Jason Richman,Nicolas Cage
After Earth,82700,2013-05-30,5.187,"['Jaden Smith', 'Will Smith', 'Sophie Okonedo']",M. Night Shyamalan,James Newton Howard,M. Night Shyamalan,Caleeb Pinkett
Le Crocodile du Botswanga,248390,2014-02-19,5.188,"['Fabrice Eboué', 'Thomas Ngijol', 'Franck de la Personne']",Fabrice Eboué,,,
Aliens vs Predator: Requiem,440,2007-12-25,5.186,"['Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz']",Colin Strause,Brian Tyler,Shane Salerno,John Davis
Junior,6280,1994-11-22,5.187,"['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']",Ivan Reitman,James Newton Howard,Kevin Wade,Ivan Reitman
The Cosmos on the Commode,24169,2008-12-19,5.184,"['Aldo Baglio', 'Giovanni Storti', 'Giacomo Poretti']",Marcello Cesena,Paolo Silvestri,Giovanni Storti,Paolo Guerra
Apex,763164,2021-11-12,5.179,"['Neal McDonough', 'Bruce Willis', 'Corey Large']",Edward Drake,Hugh Wielenga,Edward Drake,Sean Patrick O'Reilly
All I See Is You,345923,2017-08-10,5.19,"['Blake Lively', 'Jason Clarke', ""Ahna O'Reilly""]",Marc Forster,Marc Streitenfeld,,Marc Forster
Rock'n Roll,382589,2017-02-15,5.182,"['Guillaume Canet', 'Marion Cotillard', 'Gilles Lellouche']",Guillaume Canet,Maxim Nucci,Guillaume Canet,Alain Attal
Grease 2,9037,1982-06-11,5.182,"['Maxwell Caulfield', 'Michelle Pfeiffer', 'Lorna Luft']",Patricia Birch,Louis St. Louis,,Robert Stigwood
The Adventures of Sharkboy and Lavagirl,14199,2005-06-10,5.18,"['Taylor Lautner', 'Taylor Dooley', 'Cayden Boyd']",Robert Rodriguez,Robert Rodriguez,,Elizabeth Avellan
I Don't Know How She Does It,70868,2011-09-16,5.2,"['Sarah Jessica Parker', 'Pierce Brosnan', 'Greg Kinnear']",Douglas McGrath,Aaron Zigman,Aline Brosh McKenna,Donna Gigliotti
Get Carter,10461,2000-10-06,5.2,"['Sylvester Stallone', 'Miranda Richardson', 'Rachael Leigh Cook']",Stephen Kay,Tyler Bates,Ted Lewis,Mark Canton
Ratter,320048,2015-01-24,5.175,"['Ashley Benson', 'Matt McGorry', 'Michael William Freeman']",Branden Kramer,,,Jamie H. Zelermyer
Home Alone: The Holiday Heist,134375,2012-12-03,5.173,"['Christian Martyn', 'Jodelle Ferland', 'Malcolm McDowell']",Peter Hewitt,David Kitay,,Kim Todd
Green Lantern,44912,2011-06-14,5.172,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",Martin Campbell,James Newton Howard,Greg Berlanti,Greg Berlanti
The Bye Bye Man,292280,2017-01-12,5.17,"['Douglas Smith', 'Lucien Laviscount', 'Cressida Bonas']",Stacy Title,Andrew Grush,Jonathan Penner,Simon Horsman
The Unborn,13788,2009-01-09,5.2,"['Odette Annable', 'Cam Gigandet', 'Gary Oldman']",David S. Goyer,Ramin Djawadi,,Michael Bay
Escape Plan 2: Hades,440471,2018-06-05,5.168,"['Sylvester Stallone', 'Dave Bautista', 'Jesse Metcalfe']",Steven C. Miller,Andrew Grush,,Mark Canton
Silent Night,139455,2012-11-30,5.2,"['Malcolm McDowell', 'Jaime King', 'Donal Logue']",Steven C. Miller,Kevin Riepl,Jayson Rothwell,Brian Witten
Species II,10216,1998-04-10,5.2,"['Michael Madsen', 'Natasha Henstridge', 'Marg Helgenberger']",Peter Medak,,,Frank Mancuso Jr.
Black Water: Abyss,522444,2020-07-09,5.161,"['Jessica McNamee', 'Luke Mitchell', 'Amali Golden']",Andrew Traucki,Michael Lira,John Ridley,Neal Kingston
Final Girl,277558,2015-04-14,5.161,"['Abigail Breslin', 'Alexander Ludwig', 'Logan Huffman']",Tyler Shields,Marc Canham,,Jack Nasser
Paul Blart: Mall Cop 2,256961,2015-04-16,5.162,"['Kevin James', 'Raini Rodriguez', 'Neal McDonough']",Andy Fickman,Rupert Gregson-Williams,,Adam Sandler
Halloween: The Curse of Michael Myers,10987,1995-09-29,5.158,"['Donald Pleasence', 'Paul Rudd', 'Marianne Hagan']",Joe Chappelle,Paul Rabjohns,,Paul Freeman
The Trust,301608,2016-04-29,5.158,"['Nicolas Cage', 'Elijah Wood', 'Sky Ferreira']",Alex Brewer,Reza Safinia,,Molly Hassell
Willow Creek,185460,2013-05-02,5.2,"['Alexie Gilmore', 'Bryce Johnson', 'Peter Jason']",Bobcat Goldthwait,,,Aimee Pierson
Black Christmas,9656,2006-12-15,5.2,"['Katie Cassidy', 'Kristen Cloke', 'Andrea Martin']",Glen Morgan,Shirley Walker,Glen Morgan,James Wong
Southland Tales,4723,2007-11-14,5.2,"['Dwayne Johnson', 'Seann William Scott', 'Sarah Michelle Gellar']",Richard Kelly,Moby,,Bo Hyde
Dead Rising: Watchtower,293771,2015-03-27,5.148,"['Jesse Metcalfe', 'Meghan Ory', 'Virginia Madsen']",Zach Lipovsky,Oleksa Lozowchuk,,Tim Carter
On Deadly Ground,9624,1994-02-18,5.147,"['Steven Seagal', 'Michael Caine', 'Joan Chen']",Steven Seagal,Basil Poledouris,Ed Horowitz,Steven Seagal
Doom,8814,2005-10-20,5.149,"['Dwayne Johnson', 'Karl Urban', 'Rosamund Pike']",Andrzej Bartkowiak,Clint Mansell,David Callaham,Lorenzo di Bonaventura
Force of Nature,619592,2020-07-02,5.1,"['Mel Gibson', 'Emile Hirsch', 'Kate Bosworth']",Michael Polish,Kubilay Uner,,Mark Stewart
Aftershock,123103,2012-09-12,5.1,"['Eli Roth', 'Andrea Osvárt', 'Ariel Levy']",Nicolás López,,Nicolás López,Brian Oliver
Police Academy 6: City Under Siege,11895,1989-03-09,5.143,"['Bubba Smith', 'David Graf', 'Michael Winslow']",Peter Bonerz,Robert Folk,,Paul Maslansky
Ouija,242512,2014-10-24,5.142,"['Olivia Cooke', 'Ana Coto', 'Matthew Settle']",Stiles White,Anton Sanko,Juliet Snowden,Michael Bay
Repossessed,11510,1990-09-14,5.1,"['Linda Blair', 'Ned Beatty', 'Leslie Nielsen']",Bob Logan,Charles Fox,Bob Logan,Steve Wizan
Double Team,9405,1997-04-04,5.1,"['Jean-Claude Van Damme', 'Dennis Rodman', 'Mickey Rourke']",Tsui Hark,Gary Chang,Paul Mones,David Rodgers
Paparazzi,43554,1998-12-18,5.135,"['Christian De Sica', 'Massimo Boldi', 'Diego Abatantuono']",Neri Parenti,Bruno Zambrini,Neri Parenti,Aurelio De Laurentiis
Half Past Dead,10167,2002-11-15,5.1,"['Steven Seagal', 'Morris Chestnut', 'Ja Rule']",Don Michael Paul,Tyler Bates,Don Michael Paul,Andrew Stevens
Psycho,11252,1998-12-04,5.1,"['Vince Vaughn', 'Anne Heche', 'Julianne Moore']",Gus Van Sant,Bernard Herrmann,Joseph Stefano,Gus Van Sant
Iron Sky: The Coming Race,302349,2019-01-25,5.132,"['Lara Rossi', 'Vladimir Burlakov', 'Kit Dale']",Timo Vuorensola,Tuomas Kantelinen,,Oliver Damian
Love Wrecked,27902,2005-11-01,5.1,"['Amanda Bynes', 'Chris Carmack', 'Jonathan Bennett']",Randal Kleiser,Stewart Copeland,,Sammy Lee
In the Cut,10944,2003-10-22,5.1,"['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh']",Jane Campion,Hilmar Örn Hilmarsson,Jane Campion,Nicole Kidman
Christmas in Miami,42434,2005-12-16,5.125,"['Massimo Boldi', 'Christian De Sica', 'Massimo Ghini']",Neri Parenti,Bruno Zambrini,Marco Martani,Aurelio De Laurentiis
Grimcutty,1024530,2022-10-10,5.124,"['Sara Wolfkind', 'Shannyn Sossamon', 'Usman Ally']",John Ross,,,Arbi Pedrossian
