title,id,release_date,vote_average
Dog Day Afternoon,968,1975-09-21,7.84
A Fistful of Dollars,391,1964-09-12,7.84
The Nightmare Before Christmas,9479,1993-10-09,7.8
Scooby-Doo! Camp Scare,45752,2010-09-14,7.8
The Virgin Spring,11656,1960-02-08,7.8
Carlito's Way,6075,1993-11-10,7.838
Charm City Kings,552532,2020-01-27,7.835
The Boy in the Striped Pyjamas,14574,2008-05-07,7.834
Anatomy of a Murder,93,1959-07-01,7.834
The Marquis of Grillo,32480,1981-12-23,7.8
Sunrise: A Song of Two Humans,631,1927-11-04,7.8
How to Train Your Dragon,10191,2010-03-18,7.833
All My Life,632322,2020-10-23,7.832
The Best Offer,152742,2013-01-01,7.831
Nostalgia,1394,1983-05-01,7.8
The First Slam Dunk,783675,2022-12-03,7.829
Rosemary's Baby,805,1968-06-12,7.8
The Grapes of Wrath,596,1940-03-15,7.828
Io Capitano,937746,2023-09-07,7.8
Ace in the Hole,25364,1951-06-29,7.8
We Bare Bears: The Movie,677638,2020-06-30,7.8
The Working Class Goes to Heaven,56231,1971-09-17,7.8
Two Women,24167,1960-12-22,7.826
War Room,323272,2015-08-28,7.825
"Love, Rosie",200727,2014-10-16,7.826
Kiki's Delivery Service,16859,1989-07-29,7.8
Ratatouille,2062,2007-06-21,7.826
Us Again,779047,2021-03-03,7.8
The Shadow in My Eye,650031,2021-10-28,7.825
Mulholland Dr.,185789,1999-01-01,7.824
The Specials,579245,2019-10-23,7.823
A Bag of Marbles,398924,2017-01-18,7.8
La luna,83564,2012-02-10,7.823
The Bridge on the River Kwai,826,1957-10-11,7.823
1900,3870,1976-08-28,7.8
Infernal Affairs,10775,2002-12-12,7.821
Logan,263115,2017-02-28,7.82
Fantozzi: White Collar Blues,25606,1975-03-27,7.8
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,11049,2003-05-28,7.8
Z,2721,1969-02-26,7.819
Finding Nemo,12,2003-05-30,7.819
World of Tomorrow,303867,2015-01-22,7.8
Fail Safe,502,1964-10-07,7.8
Spotlight,314365,2015-11-06,7.817
Paprika,4977,2006-10-21,7.8
To Be or Not to Be,198,1942-03-06,7.817
The Summit of the Gods,712454,2021-09-22,7.816
Mr. Nobody,31011,2009-11-06,7.816
Luca,508943,2021-06-17,7.814
Lisbela and the Prisoner,52345,2003-08-22,7.8
The Phantom Carriage,58129,1921-01-01,7.813
It Happened One Night,3078,1934-02-22,7.8
Before Sunset,80,2004-06-16,7.814
Solaris,593,1972-03-20,7.812
Mulholland Drive,1018,2001-06-06,7.8
Snatch,107,2000-09-01,7.81
Network,10774,1976-11-14,7.8
Elite Squad: The Enemy Within,47931,2010-10-08,7.808
Close,901563,2022-11-01,7.807
Kagemusha,11953,1980-04-26,7.807
Harry Potter and the Goblet of Fire,674,2005-11-16,7.807
Pirates of the Caribbean: The Curse of the Black Pearl,22,2003-07-09,7.807
A Moment to Remember,15859,2004-11-05,7.8
Fantastic Mr. Fox,10315,2009-10-23,7.806
Midnight Sun,419478,2018-03-22,7.805
My Life as a Zucchini,393559,2016-09-22,7.805
Monty Python and the Holy Grail,762,1975-03-14,7.805
Evangelion: 2.0 You Can (Not) Advance,22843,2009-06-26,7.8
Rio Bravo,301,1959-03-18,7.8
The Witch: Part 1. The Subversion,530254,2018-06-27,7.803
Bajrangi Bhaijaan,348892,2015-07-17,7.8
One Hundred Steps,29458,2000-09-01,7.803
"The Gangster, the Cop, the Devil",581528,2019-05-15,7.802
I Saw the Devil,49797,2010-08-12,7.8
Emancipation,715931,2022-12-02,7.8
Words on Bathroom Walls,523781,2020-08-21,7.801
Tod@s Caen,554590,2019-08-30,7.8
Porco Rosso,11621,1992-07-18,7.8
3-Iron,1280,2004-10-15,7.8
"Spring, Summer, Fall, Winter... and Spring",113,2003-09-19,7.8
One Life,760774,2023-12-21,7.8
